name,z_cluster,ra,dec,AstroInspectClass
MKW4,0.02,0,0,bom
A639,0.0204,0,0,
IC1860,0.0223,0,0,bom
WBL074,0.02251,0,0,
NGC1132,0.0231,0,0,
A2870,0.023702,0,0,
A2877,0.023916,0,0,
MKW8,0.027,0,0,
[YMV2007]2116,0.027573,0,0,
A4049,0.029076,0,0,bom
A4038,0.029165,0,0,
A3744,0.03749,0,0,
A3733,0.0382,0,0,
WBL288,0.03899,0,0,bom
A119,0.0442,0,0,
A957,0.044279,0,0,
A168,0.044596,0,0,bom
MS0116.3-0115,0.0452,0,0,
A1631,0.046426,0,0,
A1644,0.047448,0,0,bom
A4059,0.049334,0,0,
A2717,0.049507,0,0,
MCXCJ0413.9-3805,0.0501,0,0,
[YMV2007]841,0.050685,0,0,
RXJ2137.1+0026,0.051,0,0,
[YMV2007]4713,0.052923,0,0,
A993,0.0533,0,0,
A978,0.053614,0,0,
MKW6,0.05367,0,0,
A151,0.053922,0,0,
MCXCJ1020.4-0631,0.054,0,0,
[YMV2007]49,0.054757,0,0,bom
[YMV2007]514,0.056118,0,0,
MCXCJ0346.1-5702,0.057,0,0,
A2415,0.058133,0,0,
A3880,0.058324,0,0,
A2457,0.058425,0,0,
A970,0.059443,0,0,
A3158,0.0597,0,0,
A3128,0.059857,0,0,
A3223,0.060025,0,0,
CODEX-59603,0.0616,0,0,
A2734,0.061662,0,0,
A3135,0.061788,0,0,
A3809,0.062501,0,0,
A3122,0.064359,0,0,bom
A1069,0.065,0,0,
MCXCJ0340-4542,0.068939,0,0,
A3112,0.073605,0,0,bom
WHLJ012023-000444,0.078,0,0,
MCXCJ1326.2+0013,0.0826,0,0,
A2440,0.090141,0,0,
A954,0.091551,0,0,bom
[YMV2007]1540,0.0941,0,0,